Company Name,UID,Symbol,Alias,Headquarters,Description,Logo Url,Wiki Url,ISIN
3M Company,EQT-6F6641,MMM,"3M Company, The 3M Company, Minnesota Mining and Manufacturing Company","3M Center St. Paul, MN 55144-1000 United States","3M Company conducts operations in electronics, telecommunications, industrial, consumer and office, health care, safety, and other markets. The Company businesses share technologies, manufacturing operations, marketing channels, and other resources. 3M serves customers worldwide.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/3M_wordmark.svg/200px-3M_wordmark.svg.png,https://en.wikipedia.org/wiki/3M,US88579Y1010
A. O. Smith Corp,EQT-D126E2,AOS,"A. O. Smith Corp, A. O. Smith Corporation ","11270 West Park Place Suite 170 PO Box 245008 Milwaukee, WI 53224 United States",A. O. Smith Corporation manufactures both residential and commercial water heaters and boilers. It also supplies water treatment products in the Asian market.,https://en.wikipedia.org/wiki/File:AO_Smith_logo.svg,https://en.wikipedia.org/wiki/A._O._Smith,US8318652091
Abbott Laboratories,EQT-CD2826,ABT,"Abbott Laboratories, Abbott Labs","Abbott Laboratories , 100 Abbott Park Road ,Abbott Park, Ill. 60064 United States","Abbott Laboratories is an American health care company with headquarters in Lake Bluff, Illinois, United States. The company was founded by Chicago physician Wallace Calvin Abbott in 1888 to formulate known drugs; it eventually grew to also sell research-based drugs, medical devices, diagnostics, and nutritional products.
Abbott has a broad range of branded generic pharmaceuticals, medical devices, diagnostics, and nutrition products",https://upload.wikimedia.org/wikipedia/commons/6/69/AbbottLaboratories.svg,https://en.wikipedia.org/wiki/Abbott_Laboratories,US0028241000
Abbvie Inc,EQT-261A24,ABBV,"AbbVie, AbbVie Inc","1401 Sheridan Rd, North Chicago, IL 60064, USA","AbbVie pharmaceuticals combines advanced science with expertise to make strides in drug and treatment discovery, making a remarkable impact on people's lives.",https://upload.wikimedia.org/wikipedia/commons/c/cc/AbbVie_logo.svg,https://en.wikipedia.org/wiki/AbbVie_Inc.,US00287Y1091
Abiomed Inc,EQT-6C68B4,ABMD,"Abiomed Inc , Abiomed","22 Cherry Hill Drive Danvers Massachusetts , 01923 United States","Abiomed is a manufacturer of medical implant devices, including the AbioCor artificial heart and Impella. The products are designed to enable the heart to rest by improving blood flow and/or performing the pumping of the heart.",https://upload.wikimedia.org/wikipedia/commons/b/b9/ABIOMED_logo.svg,https://en.wikipedia.org/wiki/Abiomed,US0036541003
Accenture PLC,EQT-467534,ACN,"Accenture PLC , Accenture","3 Grand Canal Plaza Grand Canal Street Upper Grand Canal Dock Dublin 4, Ireland","Accenture is a leading global professional services company, providing a broad range of services and solutions in strategy, consulting, digital, technology and operations. The company works at the intersection of business and technology to help clients improve their performance and create sustainable value for their stakeholders.",https://upload.wikimedia.org/wikipedia/commons/c/cd/Accenture.svg,https://en.wikipedia.org/wiki/Accenture,IE00B4BNMY34
Activision Blizzard Inc,EQT-A2DA55,ATVI,"Activision Blizzard Inc , Activision Blizzard","3100 Ocean Park Boulevard Santa Monica California, 90405 United States","Activision Blizzard Inc. is an American video game and film holding company.The company was founded through the merger of Activision and Vivendi Games.The company currently includes five business units: Activision Publishing, Blizzard Entertainment, King, and Major League Gaming,and Activision Blizzard Studios.",https://upload.wikimedia.org/wikipedia/commons/6/6e/Activision_Blizzard_logo.svg,https://en.wikipedia.org/wiki/Activision_Blizzard,US00507V1098 
Adobe Systems Inc,EQT-A32D78,ADBE,"Adobe Systems Inc, Adobe Inc","345 Park Avenue San Jose, CA 95110-2704 United States","Adobe Inc. is an American multinational computer software company headquartered in San Jose, California. It has historically focused upon the creation of multimedia and creativity software products, with a more recent foray towards digital marketing software. Adobe is best known for its Adobe Flash web software ecosystem, Photoshop image editing software, Acrobat Reader, the Portable Document Format (PDF), and Adobe Creative Suite, as well as its successor Adobe Creative Cloud.  Adobe was founded in December 1982 by John Warnock and Charles Geschke",https://en.wikipedia.org/wiki/File:Adobe-logo-long.png,https://en.wikipedia.org/wiki/Adobe_Inc.,US00724F1012
Advance Auto Parts Inc,EQT-5CD6D3,AAP,"Advance Auto Parts Inc, Advance Auto","5008 Airport Road Roanoke, VA 24012 United States","Advance Auto Parts, Inc. (Advance) is a leading automotive aftermarket parts provider headquartered in Raleigh, N.C., that serves both professional installer and do-it-yourself (DIY) customers.  The company’s stores and branches offer a broad selection of brand name, original equipment manufacturer (OEM) and private label automotive replacement parts, accessories, batteries and maintenance items for domestic and imported cars, vans, sport utility vehicles and light and heavy duty trucks.",https://en.wikipedia.org/wiki/File:AAP_Logo_STK_2C.svg,https://en.wikipedia.org/wiki/Advance_Auto_Parts,US00751Y1064
Advanced Micro Devices Inc,EQT-261A24,AMD,"Advanced Micro Devices Inc, AMD","2485 Augustine Drive Santa Clara, CA 95054 United States","Advanced Micro Devices, Inc. (AMD) is an American multinational semiconductor company based in Santa Clara, California and Austin, Texas that develops computer processors and related technologies for business and consumer markets.  AMD's main products include microprocessors, motherboard chipsets, embedded processors and graphics processors for servers, workstations and personal computers, and embedded systems applications.",https://en.wikipedia.org/wiki/File:AMD_Logo.svg,https://en.wikipedia.org/wiki/Advanced_Micro_Devices,US0079031078
